Constituency,County,Country/Region,Country,Electorate,Turnout,Total votes,Conservative,Labour,Lib. Dem.,Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
GILLINGHAM AND RAINHAM,Kent,South East,England,73549,0.6248623366735102,45958,28173,13054,2503,NA,1043,NA,NA,NA,NA,NA,NA,NA,1185
GLASGOW CENTRAL,NA,Scotland,Scotland,69230,0.5793008811209014,40105,3698,13276,1952,NA,1429,19750,NA,NA,NA,NA,NA,NA,NA
GLASGOW EAST,NA,Scotland,Scotland,67381,0.5711253914308188,38483,5709,12791,1626,NA,NA,18357,NA,NA,NA,NA,NA,NA,NA
GLASGOW NORTH,NA,Scotland,Scotland,57130,0.6334850341326799,36191,3806,11381,2394,320,1308,16982,NA,NA,NA,NA,NA,NA,NA
GLASGOW NORTH EAST,NA,Scotland,Scotland,61075,0.5554645927138764,33925,3558,13363,1093,NA,NA,15911,NA,NA,NA,NA,NA,NA,NA
GLASGOW NORTH WEST,NA,Scotland,Scotland,63402,0.6267152455758493,39735,6022,11319,2716,NA,NA,19678,NA,NA,NA,NA,NA,NA,NA
GLASGOW SOUTH,NA,Scotland,Scotland,70891,0.6692386903838287,47443,6237,13824,2786,516,1251,22829,NA,NA,NA,NA,NA,NA,NA
GLASGOW SOUTH WEST,NA,Scotland,Scotland,64575,0.5706078203639179,36847,4224,12743,1435,802,NA,17643,NA,NA,NA,NA,NA,NA,NA
GLENROTHES,NA,Scotland,Scotland,65672,0.6326288220246071,41546,6920,9477,2639,1276,NA,21234,NA,NA,NA,NA,NA,NA,NA
GLOUCESTER,Gloucestershire,South West,England,81319,0.6611493009013883,53764,29159,18882,4338,NA,1385,NA,NA,NA,NA,NA,NA,NA,NA
GORDON,NA,Scotland,Scotland,79629,0.7022064825628854,55916,23066,3052,5913,NA,NA,23885,NA,NA,NA,NA,NA,NA,NA
GOSPORT,Hampshire,South East,England,73541,0.6588569641424511,48453,32226,8948,5473,NA,1806,NA,NA,NA,NA,NA,NA,NA,NA
GOWER,West Glamorgan,Wales,Wales,61762,0.7202163142385285,44482,18371,20208,2236,1379,NA,NA,2288,NA,NA,NA,NA,NA,NA
GRANTHAM AND STAMFORD,Lincolnshire,East Midlands,England,81502,0.6871365119874359,56003,36794,10791,6153,NA,2265,NA,NA,NA,NA,NA,NA,NA,NA
GRAVESHAM,Kent,South East,England,73242,0.6493541956800742,47560,29580,13999,2584,NA,1397,NA,NA,NA,NA,NA,NA,NA,NA
GREAT GRIMSBY,Humberside,Yorkshire and The Humber,England,61409,0.5387972447035451,33087,18150,10819,1070,2378,514,NA,NA,NA,NA,NA,NA,NA,156
GREAT YARMOUTH,Norfolk,East,England,71957,0.6039996108787192,43462,28593,10930,1661,NA,1064,NA,NA,NA,NA,NA,NA,NA,1214
GREENWICH AND WOOLWICH,London,London,England,79997,0.664024900933785,53120,11721,30185,7253,1228,2363,NA,NA,NA,NA,NA,NA,NA,370
GUILDFORD,Surrey,South East,England,77729,0.75455750106138,58651,26317,4515,22980,NA,NA,NA,NA,NA,NA,NA,NA,NA,4839
HACKNEY NORTH AND STOKE NEWINGTON,London,London,England,92462,0.6149985940170016,56864,6784,39972,4283,609,4989,NA,NA,NA,NA,NA,NA,NA,227
HACKNEY SOUTH AND SHOREDITCH,London,London,England,89387,0.609025920995223,54439,5899,39884,4853,744,2948,NA,NA,NA,NA,NA,NA,NA,111
HALESOWEN AND ROWLEY REGIS,West Midlands,West Midlands,England,68300,0.6199853587115666,42345,25607,13533,1738,NA,934,NA,NA,NA,NA,NA,NA,NA,533
HALIFAX,West Yorkshire,Yorkshire and The Humber,England,71887,0.6462642758774187,46458,18927,21496,2276,2813,946,NA,NA,NA,NA,NA,NA,NA,NA
HALTEMPRICE AND HOWDEN,Humberside,Yorkshire and The Humber,England,71083,0.7002940224807619,49779,31045,10716,5215,NA,1764,NA,NA,NA,NA,NA,NA,NA,1039
HALTON,Cheshire,North West,England,71930,0.6423328235784791,46203,10358,29333,1800,3730,982,NA,NA,NA,NA,NA,NA,NA,NA
HAMMERSMITH,London,London,England,74759,0.6951136318035287,51966,12227,30074,6947,974,1744,NA,NA,NA,NA,NA,NA,NA,NA
HAMPSTEAD AND KILBURN,London,London,England,86571,0.6628663178200552,57385,13892,28080,13121,684,1608,NA,NA,NA,NA,NA,NA,NA,NA
HARBOROUGH,Leicestershire,East Midlands,England,80151,0.7151376776334668,57319,31698,14420,9103,NA,1709,NA,NA,NA,NA,NA,NA,NA,389
HARLOW,Essex,East,England,68078,0.6368283439584007,43354,27510,13447,2397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARROGATE AND KNARESBOROUGH,North Yorkshire,Yorkshire and The Humber,England,77941,0.7305141068243928,56937,29962,5480,20287,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208
HARROW EAST,London,London,England,72106,0.6863645189027265,49491,26935,18765,3791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARROW WEST,London,London,England,72464,0.6613214837712519,47922,16440,25132,4310,931,1109,NA,NA,NA,NA,NA,NA,NA,NA
HARTLEPOOL,Cleveland,North East,England,70855,0.5791687248606309,41037,11869,15464,1696,10603,NA,NA,NA,NA,NA,NA,NA,NA,1405
HARWICH AND NORTH ESSEX,Essex,East,England,74153,0.7007538467762598,51963,31830,11648,5866,NA,1945,NA,NA,NA,NA,NA,NA,NA,674
HASTINGS AND RYE,East Sussex,South East,England,80524,0.6740102329740202,54274,26896,22853,3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,565
HAVANT,Hampshire,South East,England,72103,0.637407597464738,45959,30051,8259,5708,NA,1597,NA,NA,NA,NA,NA,NA,NA,344
HAYES AND HARLINGTON,London,London,England,72357,0.608013046422599,43994,15284,24545,1947,1292,739,NA,NA,NA,NA,NA,NA,NA,187
HAZEL GROVE,Greater Manchester,North West,England,63346,0.6988444416379882,44269,21592,5508,17169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEMEL HEMPSTEAD,Hertfordshire,East,England,74035,0.6925238063078274,51271,28968,14405,6317,NA,1581,NA,NA,NA,NA,NA,NA,NA,NA
HEMSWORTH,West Yorkshire,Yorkshire and The Humber,England,73726,0.5955429563518976,43907,15280,16460,1734,5930,916,NA,NA,NA,NA,NA,NA,NA,3587
HENDON,London,London,England,82661,0.6662755108213063,55075,26878,22648,4628,NA,921,NA,NA,NA,NA,NA,NA,NA,NA
HENLEY,Oxfordshire,South East,England,76646,0.7666283954805209,58759,32189,5698,18136,NA,2736,NA,NA,NA,NA,NA,NA,NA,NA
HEREFORD AND SOUTH HEREFORDSHIRE,Hereford and Worcester,West Midlands,England,72085,0.6887147117985711,49646,30390,10704,6181,NA,2371,NA,NA,NA,NA,NA,NA,NA,NA
HERTFORD AND STORTFORD,Hertfordshire,East,England,81765,0.7349599461872439,60094,33712,14092,8596,NA,2705,NA,NA,NA,NA,NA,NA,NA,989
HERTSMERE,Hertfordshire,East,England,73971,0.7057225128766679,52203,32651,11338,6561,NA,1653,NA,NA,NA,NA,NA,NA,NA,NA
HEXHAM,Northumberland,North East,England,61324,0.7525601722001174,46150,25152,14603,4672,NA,1723,NA,NA,NA,NA,NA,NA,NA,NA
HEYWOOD AND MIDDLETON,Greater Manchester,North West,England,80162,0.592400389211846,47488,20453,19790,2073,3952,1220,NA,NA,NA,NA,NA,NA,NA,NA
HIGH PEAK,Derbyshire,East Midlands,England,74265,0.7294553288897866,54173,24844,24254,2750,1177,1148,NA,NA,NA,NA,NA,NA,NA,NA
HITCHIN AND HARPENDEN,Hertfordshire,East,England,76323,0.7713402250959737,58871,27719,9959,20824,NA,NA,NA,NA,NA,NA,NA,NA,NA,369
HOLBORN AND ST PANCRAS,London,London,England,86061,0.659834303575371,56786,8878,36641,7314,1032,2746,NA,NA,NA,NA,NA,NA,NA,175
HORNCHURCH AND UPMINSTER,London,London,England,80765,0.6682845291896242,53974,35495,12187,3862,NA,1920,NA,NA,NA,NA,NA,NA,NA,510
HORNSEY AND WOOD GREEN,London,London,England,81814,0.7468770626054221,61105,6829,35126,15884,763,2192,NA,NA,NA,NA,NA,NA,NA,311
HORSHAM,West Sussex,South East,England,86730,0.7291825204658134,63242,35900,9424,14773,NA,2668,NA,NA,NA,NA,NA,NA,NA,477
HOUGHTON AND SUNDERLAND SOUTH,Tyne and Wear,North East,England,68835,0.5783540350112588,39811,13095,16210,2319,6165,1125,NA,NA,NA,NA,NA,NA,NA,897
HOVE,East Sussex,South East,England,74313,0.7588308909612046,56391,15832,32876,3731,1111,2496,NA,NA,NA,NA,NA,NA,NA,345
HUDDERSFIELD,West Yorkshire,Yorkshire and The Humber,England,65525,0.6391758870660054,41882,15572,20509,2367,1666,1768,NA,NA,NA,NA,NA,NA,NA,NA
HUNTINGDON,Cambridgeshire,East,England,84657,0.698666383169732,59147,32386,13003,9432,NA,2233,NA,NA,NA,NA,NA,NA,NA,2093
HYNDBURN,Lancashire,North West,England,70842,0.5985997007424974,42406,20565,17614,1226,2156,845,NA,NA,NA,NA,NA,NA,NA,NA
ILFORD NORTH,London,London,England,72973,0.6867471530566099,50114,20105,25323,2680,960,845,NA,NA,NA,NA,NA,NA,NA,201
ILFORD SOUTH,London,London,England,84972,0.6293484912677118,53477,10984,35085,1795,1008,714,NA,NA,NA,NA,NA,NA,NA,3891
INVERCLYDE,NA,Scotland,Scotland,60622,0.6582263864603609,39903,6265,11783,2560,NA,NA,19295,NA,NA,NA,NA,NA,NA,NA
"INVERNESS, NAIRN, BADENOCH AND STRATHSPEY",NA,Scotland,Scotland,78059,0.7021611857697383,54810,15807,4123,5846,1078,1709,26247,NA,NA,NA,NA,NA,NA,NA
IPSWICH,Suffolk,East,England,75525,0.656458126448196,49579,24952,19473,2439,1432,1283,NA,NA,NA,NA,NA,NA,NA,NA
ISLE OF WIGHT,Isle of Wight,South East,England,113021,0.6586563558984614,74442,41815,18078,NA,NA,11338,NA,NA,NA,NA,NA,NA,NA,3211
ISLINGTON NORTH,London,London,England,75162,0.7158537558872835,53805,5483,34603,8415,742,4326,NA,NA,NA,NA,NA,NA,NA,236
ISLINGTON SOUTH AND FINSBURY,London,London,England,70489,0.6783469761239342,47816,8045,26897,9569,1136,1987,NA,NA,NA,NA,NA,NA,NA,182
ISLWYN,Gwent and Mid Glamorgan,Wales,Wales,55423,0.6197787921981849,34350,9892,15356,1313,4834,669,NA,2286,NA,NA,NA,NA,NA,NA
JARROW,Tyne and Wear,North East,England,65103,0.6257161728338172,40736,11243,18363,2360,4122,831,NA,NA,NA,NA,NA,NA,NA,3817
KEIGHLEY,West Yorkshire,Yorkshire and The Humber,England,72778,0.7227458847453901,52600,25298,23080,2573,850,NA,NA,NA,NA,NA,NA,NA,NA,799
KENILWORTH AND SOUTHAM,Warwickshire,West Midlands,England,68154,0.7717375355811837,52597,30351,9440,9998,NA,2351,NA,NA,NA,NA,NA,NA,NA,457
KENSINGTON,London,London,England,64609,0.677335974864183,43762,16768,16618,9312,384,535,NA,NA,NA,NA,NA,NA,NA,145
